DocID,DocURL
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID68448.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68448
D:/data/crawl/PagesDownloaded/httpgoulduscedulibraryservicesaccesscfm.html,http://gould.usc.edu/library/services/access.cfm
D:/data/crawl/PagesDownloaded/httpgoulduscedupressexpert.html,http://gould.usc.edu/press/expert/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID71042.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71042
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjd2yearjdprogramforinternationallawyers.html,http://gould.usc.edu/how/jd/2-year-jd-program-for-international-lawyers/
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjdrothmanscholarscfm.html,http://gould.usc.edu/how/jd/rothman/scholars.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicscertificates.html,http://gould.usc.edu/academics/certificates/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID71043.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71043
D:/data/crawl/PagesDownloaded/httpgoulduscedualumniclassnotes.html,http://gould.usc.edu/alumni/class-notes/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutabarequireddisclosuresjdenrollmentandethnicity.html,http://gould.usc.edu/about/aba-required-disclosures/jd-enrollment-and-ethnicity/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID658.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=658
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjdviewbookindexhtml.html,http://gould.usc.edu/how/jd/viewbook/index.html
D:/data/crawl/PagesDownloaded/httpgouldusceducareersreciprocity.html,http://gould.usc.edu/careers/reciprocity/
D:/data/crawl/PagesDownloaded/httpgouldusceduhowgip2year.html,http://gould.usc.edu/how/gip/2-year/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID351.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=351
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjdviewbookdocumentpdf.pdf,http://gould.usc.edu/how/jd/viewbook/document.pdf
D:/data/crawl/PagesDownloaded/httpgoulduscedufacultylecturers.html,http://gould.usc.edu/faculty/lecturers/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID354.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=354
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutabarequireddisclosuresgrantsandscholarships.html,http://gould.usc.edu/about/aba-required-disclosures/grants-and-scholarships/
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjdrothman.html,http://gould.usc.edu/how/jd/rothman/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutvisitclassroom.html,http://gould.usc.edu/about/visit/classroom/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcommunity.html,http://gould.usc.edu/about/community/
D:/data/crawl/PagesDownloaded/httpgouldusceduhowjdrothmandetailscfm.html,http://gould.usc.edu/how/jd/rothman/details.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceducareersstudentscounseling.html,http://gould.usc.edu/careers/students/counseling/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID71030.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71030
D:/data/crawl/PagesDownloaded/httpgoulduscedueventsprinteventinfocfmeventid5721.html,http://gould.usc.edu/events/printeventinfo.cfm?eventid=5721
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsmediaentertainmentandtechnologylawprogramstudents.html,http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/students/
D:/data/crawl/PagesDownloaded/httpgouldusceduwhystudentsorgsevcacfm.html,http://gould.usc.edu/why/students/orgs/evca.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsmediaentertainmentandtechnologylawprogrampracticum.html,http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/practicum/
D:/data/crawl/PagesDownloaded/httpgoulduscedulibraryservicesmap.html,http://gould.usc.edu/library/services/map/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID346.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=346
D:/data/crawl/PagesDownloaded/httpgouldusceduhowtransferindexcfm.html,http://gould.usc.edu/how/transfer/index.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduwhyacademicscle.html,http://gould.usc.edu/why/academics/cle/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutabarequireddisclosuresqualificationsforadmissiontothebar.html,http://gould.usc.edu/about/aba-required-disclosures/qualifications-for-admission-to-the-bar/
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicscurriculumacademiccalendar.html,http://gould.usc.edu/academics/curriculum/academic-calendar/
D:/data/crawl/PagesDownloaded/httpgouldusceduabouthistorywomen.html,http://gould.usc.edu/about/history/women/
D:/data/crawl/PagesDownloaded/httpgouldusceduwhystudentsorgsbusinesslawsocietycfm.html,http://gould.usc.edu/why/students/orgs/business_law_society.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID345.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=345
D:/data/crawl/PagesDownloaded/httpgouldusceduhowgiponlinemsl.html,http://gould.usc.edu/how/gip/onlinemsl/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID70034.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70034
D:/data/crawl/PagesDownloaded/httpgouldusceduwhystudentsorgsrealEstatecfm.html,http://gould.usc.edu/why/students/orgs/realEstate.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicsmediaentertainmentandtechnologylawprogramnews.html,http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/news/
D:/data/crawl/PagesDownloaded/httpgouldusceduacademicscertificatesbusiness.html,http://gould.usc.edu/academics/certificates/business/
D:/data/crawl/PagesDownloaded/httpgouldusceducareersstudentsemployment.html,http://gould.usc.edu/careers/students/employment/
D:/data/crawl/PagesDownloaded/httpgouldusceduwhystudentsorgsaflscfm.html,http://gould.usc.edu/why/students/orgs/afls.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID70770.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70770
D:/data/crawl/PagesDownloaded/httpgoulduscedupressarticlecfmnewsid4271.html,http://gould.usc.edu/press/article.cfm?newsid=4271
D:/data/crawl/PagesDownloaded/httpgouldusceduevents.html,http://gould.usc.edu/events/
D:/data/crawl/PagesDownloaded/httpgouldusceduabouthistory.html,http://gould.usc.edu/about/history/
D:/data/crawl/PagesDownloaded/httpgouldusceduabouthistorytimeline.html,http://gould.usc.edu/about/history/timeline/
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID70769.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70769
D:/data/crawl/PagesDownloaded/httpgouldusceduwhystudentsorgslaabcfm.html,http://gould.usc.edu/why/students/orgs/laab.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceducareersemployers.html,http://gould.usc.edu/careers/employers/
D:/data/crawl/PagesDownloaded/httpgoulduscedustudentsstudentswithfamilies.html,http://gould.usc.edu/students/students-with-families/
D:/data/crawl/PagesDownloaded/httpgouldusceduwhystudentsorgsarmeniancfm.html,http://gould.usc.edu/why/students/orgs/armenian.cfm
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID71005.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71005
D:/data/crawl/PagesDownloaded/httpgoulduscedupressarticlecfmnewsid4275.html,http://gould.usc.edu/press/article.cfm?newsid=4275
D:/data/crawl/PagesDownloaded/httpgouldusceduaboutcontactlecturerscontactInfocfmdetailID71004.html,http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71004
