Successfully Downloaded URL, Size of Downloaded File, Number of Outgoing Links, Content Type
http://gould.usc.edu/about/aba-required-disclosures/transfer-policy-and-awarding-of-credit/,61986,275,text/html; charset=UTF-8
http://gould.usc.edu/giving/choices/annualFund.cfm,61904,285,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/walking-tour/,82465,278,text/html; charset=UTF-8
http://gould.usc.edu/centers/saks/,62573,299,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2008,143671,552,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4219,62458,278,text/html; charset=UTF-8
http://gould.usc.edu/about/history/interdisciplinary/,60560,276,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/,60855,276,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71002,61297,278,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/gpa-and-lsat-scores/,61578,275,text/html; charset=UTF-8
http://gould.usc.edu/giving/choices/annualfund.cfm,61898,285,text/html; charset=UTF-8
http://gould.usc.edu/alumni/getInvolved/committee.cfm,62340,288,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4213,61109,277,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4212,65506,279,text/html; charset=UTF-8
http://gould.usc.edu/giving/choices/donatenow.cfm,62667,285,text/html; charset=UTF-8
http://gould.usc.edu/academics/calendar/,72389,283,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/regulardecision.cfm,58549,275,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70010,59399,277,text/html; charset=UTF-8
http://gould.usc.edu/faculty/blogs/,61297,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71827,59324,277,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/llm/,70739,313,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=565,69549,321,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4215,61475,277,text/html; charset=UTF-8
http://gould.usc.edu/press/social/,60623,282,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4211,64149,278,text/html; charset=UTF-8
http://gould.usc.edu/alumni/events/receptions.cfm,62822,288,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/entertainment/,69501,283,text/html; charset=UTF-8
http://gould.usc.edu/about/introduction/,61448,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71829,59155,277,text/html; charset=UTF-8
http://gould.usc.edu/library/search/,60841,287,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71828,59162,277,text/html; charset=UTF-8
http://gould.usc.edu/library/,61319,287,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70008,60006,277,text/html; charset=UTF-8
http://gould.usc.edu/academics/clinical-programs/,62865,285,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/programming/,59314,275,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4210,65166,277,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/visitinfo.cfm,62729,276,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/resources/,59116,276,text/html; charset=UTF-8
http://gould.usc.edu/library/services/staff.cfm,63701,305,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71830,59198,277,text/html; charset=UTF-8
http://gould.usc.edu/careers/employers/recruitment/,60247,277,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/bar-passage-rates/,63829,275,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70520,59188,277,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/lsac/lsacLawSchoolForums.cfm,64308,286,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/admissionsInformation.cfm,82504,289,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/,66468,286,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70522,61080,277,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=gpa,61196,275,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70007,59247,277,text/html; charset=UTF-8
http://gould.usc.edu/about/history/diversity/,61165,276,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71831,59197,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72658,59185,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71526,59126,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70009,59153,277,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/courses/,71962,318,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=23737,60701,277,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=663,69780,321,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/class-and-exam-schedules/,67376,328,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72663,64186,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71832,59172,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71535,60497,277,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/housing/,70675,288,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68450,60937,277,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2010,128466,498,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/mcl/,66259,299,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71534,61741,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71836,60402,277,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72153,60490,278,text/html; charset=UTF-8
http://gould.usc.edu/careers/alumni/,59431,277,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2014,97793,400,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71010,59254,277,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/costs.cfm,73602,285,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2013,106931,434,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/studentAmbassadors.cfm,66731,291,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71536,60479,277,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/externships/,60658,275,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71835,60698,277,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/statistics/,59253,282,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=851,60195,277,text/html; charset=UTF-8
http://gould.usc.edu/students/peer-mentors/,101709,310,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2012,120775,478,text/html; charset=UTF-8
