Successfully Downloaded URL, Size of Downloaded File, Number of Outgoing Links, Content Type
http://gould.usc.edu/giving/choices/annualFund.cfm,62427,290,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2011,141486,544,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=520,72532,333,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/entertainment/,70253,287,text/html; charset=UTF-8
http://gould.usc.edu/academics/media%2Dentertainment%2Dand%2Dtechnology%2Dlaw%2Dprogram/opportunities/,71030,288,text/html; charset=UTF-8
http://gould.usc.edu/faculty/workshops/faculty/,61849,279,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/juris-doctor-degree-requirements/,60308,279,text/html; charset=UTF-8
http://gould.usc.edu/academics/clinical-programs/,63611,289,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/,61488,280,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/,59579,279,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2016,59637,280,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71016,60014,281,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/visitinfo.cfm,63445,280,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=23746,61710,281,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=630,72218,333,text/html; charset=UTF-8
http://gould.usc.edu/faculty/blogs/,61892,285,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=322,62467,281,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/upper-division-course-offerings/,67659,279,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/admissionsInformation.cfm,83282,293,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/bar-passage-rates/,64593,279,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2015,84742,360,text/html; charset=UTF-8
http://gould.usc.edu/library/search/,61561,291,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68441,60834,280,text/html; charset=UTF-8
http://gould.usc.edu/press/faculty/,315166,557,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/resources/,59892,280,text/html; charset=UTF-8
http://gould.usc.edu/faculty/experts/,60779,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/courses/,72724,322,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/faq.cfm,90598,293,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=gpa,61946,279,text/html; charset=UTF-8
http://gould.usc.edu/press/publications/identity/,59749,283,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=course%2Bdescriptions,61924,280,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/studentambassadors.cfm,67478,296,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71008,60025,281,text/html; charset=UTF-8
http://gould.usc.edu/logingip.cfm,10561,16,text/html; charset=UTF-8
http://gould.usc.edu/careers/employers/recruitment/,61011,281,text/html; charset=UTF-8
http://gould.usc.edu/press/publications/,60212,284,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/costs.cfm,74346,289,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/staff/,84853,373,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72103,59884,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/,68642,289,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/llm/appinfo.cfm,78361,307,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68448,61182,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70520,59898,281,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/research/,68740,321,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=65014,61483,281,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/transfer-policy-and-awarding-of-credit/,62565,279,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72100,59906,281,text/html; charset=UTF-8
http://gould.usc.edu/admissions/graduate/,61521,287,text/html; charset=UTF-8
http://gould.usc.edu/about/history/public-interest/,62132,280,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70522,61801,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71042,61479,281,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/externships/,61405,279,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71043,63995,280,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=23737,61446,281,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/entertainmentLaw.cfm,60075,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/lsac/lsac.cfm,67400,292,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72101,59905,281,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/gpa-and-lsat-scores/,62181,279,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70974,67311,285,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=658,60656,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68450,61650,281,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/statistics/,59937,286,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=351,61099,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72610,59907,281,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/regulardecision.cfm,59128,279,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/,63488,284,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72106,61752,281,text/html; charset=UTF-8
http://gould.usc.edu/about/history/alumni/,60454,279,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72611,59907,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=354,61781,281,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/llm/,71326,317,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71010,59974,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/onlineapplicationstatus.cfm,72565,291,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72107,59855,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=23748,62477,281,text/html; charset=UTF-8
http://gould.usc.edu/about/introduction/,62175,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71030,83935,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72612,59895,281,text/html; charset=UTF-8
